checkpoint_t,accuracy,macro_f1,n
19,0.9174242424242425,0.7651573013157039,1320
29,0.928030303030303,0.7828779347578328,1320
39,0.9318181818181818,0.7954154841015787,1320
49,0.9340909090909091,0.8055934282148223,1320
59,0.9348484848484848,0.8007630946268306,1320
69,0.9553030303030303,0.8556772068898502,1320
79,0.9583333333333334,0.8656574547511179,1320
89,0.956060606060606,0.8564985118761487,1320
99,0.9568181818181818,0.860743000843938,1320
109,0.9590909090909091,0.8696541098323388,1320
119,0.9583333333333334,0.8691408211917864,1320
129,0.9598484848484848,0.8782228605912407,1320
139,0.9583333333333334,0.869982715363077,1320
149,0.9606060606060606,0.8809303021124674,1320
