method,baseline_method,condition,n_baseline,n_recovery,baseline_success_rate,recovery_success_rate,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh
sac_her_recovery_v4_hx2,sac_her_recovery_v4,grip_state_falsification,450,450,0.14,0.18222222222222223,0.04222222222222222,0.022222222222222227,0.06444444444444444,0.00015652179718017578,paired_mcnemar,0.003443479537963867,True
sac_her_recovery_v4_hx,sac_her_recovery_v4,object_pose_spoof,450,450,0.2822222222222222,0.21333333333333335,-0.06888888888888886,-0.12444444444444441,-0.015555555555555545,0.016379446145190272,paired_mcnemar,0.18017390759709298,False
sac_her_recovery_v4_hx2,sac_her_recovery_v4,sensor_bias,450,450,0.035555555555555556,0.022222222222222223,-0.013333333333333332,-0.02888888888888889,0.0022222222222222227,0.1795654296875,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx2,sac_her_recovery_v4,object_pose_spoof,450,450,0.2822222222222222,0.2511111111111111,-0.03111111111111109,-0.08444444444444443,0.024444444444444435,0.29793364454191973,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx2,sac_her_recovery_v4,goal_spoof_midep,450,450,0.10444444444444445,0.12444444444444444,0.01999999999999999,-0.022222222222222213,0.06222222222222221,0.39657015814551605,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx2,sac_her_recovery_v4,goal_spoof_immediate,450,450,0.10222222222222223,0.08444444444444445,-0.01777777777777778,-0.055555555555555566,0.020000000000000004,0.43404225534547874,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx,sac_her_recovery_v4,sensor_bias,450,450,0.035555555555555556,0.028888888888888888,-0.006666666666666668,-0.022222222222222223,0.006666666666666668,0.548828125,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx,sac_her_recovery_v4,goal_spoof_immediate,450,450,0.10222222222222223,0.09111111111111111,-0.011111111111111113,-0.05111111111111111,0.026666666666666672,0.6569924675863577,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx,sac_her_recovery_v4,clean,450,450,0.9977777777777778,0.9977777777777778,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx2,sac_her_recovery_v4,action_reversal,450,450,0.02666666666666667,0.028888888888888888,0.002222222222222219,0.0,0.006666666666666668,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx2,sac_her_recovery_v4,action_delay,450,450,0.9377777777777778,0.9377777777777778,0.0,-0.011111111111111072,0.011111111111111183,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx2,sac_her_recovery_v4,action_clipping,450,450,0.9888888888888889,0.9911111111111112,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx,sac_her_recovery_v4,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx2,sac_her_recovery_v4,clean,450,450,0.9977777777777778,1.0,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx,sac_her_recovery_v4,grip_state_falsification,450,450,0.14,0.14,0.0,-0.006666666666666654,0.006666666666666654,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx,sac_her_recovery_v4,goal_spoof_midep,450,450,0.10444444444444445,0.10666666666666667,0.0022222222222222227,-0.037777777777777785,0.04222222222222223,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx,sac_her_recovery_v4,action_reversal,450,450,0.02666666666666667,0.028888888888888888,0.002222222222222219,0.0,0.006666666666666668,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx,sac_her_recovery_v4,action_delay,450,450,0.9377777777777778,0.9377777777777778,0.0,-0.008888888888888835,0.008888888888888946,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx,sac_her_recovery_v4,action_clipping,450,450,0.9888888888888889,0.9911111111111112,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx,sac_her_recovery_v4,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx2,sac_her_recovery_v4,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False
sac_her_recovery_v4_hx2,sac_her_recovery_v4,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False
